Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001679,0.00015722,0.10680575
2,60,0.00002896,0.00016314,0.17751299
2,120,0.00006986,0.00029542,0.23647706
2,250,0.00009424,0.00063262,0.14896509
2,510,0.00018317,0.00129469,0.14147557
2,1020,0.00037933,0.00247658,0.15316513
2,2040,0.00080309,0.00495660,0.16202364
2,4090,0.00171087,0.01035165,0.16527488
2,8190,0.00365473,0.02095324,0.17442330
2,16380,0.00779027,0.04658414,0.16723008
2,32760,0.01711502,0.08542878,0.20034256
2,131070,0.08599353,0.34684037,0.24793403
4,30,0.00005293,0.00012130,0.43636798
4,60,0.00011159,0.00020711,0.53880324
4,120,0.00020019,0.00039046,0.51269647
4,250,0.00038763,0.00078866,0.49150838
4,510,0.00079406,0.00162177,0.48962522
4,1020,0.00168377,0.00332965,0.50569008
4,2040,0.00351518,0.00705340,0.49836724
4,4090,0.00739500,0.01459192,0.50678725
4,8190,0.01558182,0.02984964,0.52201016
4,16380,0.03498649,0.06071295,0.57626075
4,32760,0.07675947,0.11792329,0.65092720
4,131070,0.36020271,0.56984354,0.63210809
8,30,0.00017656,0.00020460,0.86292901
8,60,0.00034691,0.00036503,0.95035504
8,120,0.00070228,0.00075568,0.92934046
8,250,0.00145793,0.00154742,0.94216510
8,510,0.00311181,0.00322435,0.96509657
8,1020,0.00656182,0.00678307,0.96738174
8,2040,0.01369583,0.01464768,0.93501674
8,4090,0.02995259,0.02932555,1.02138224
8,8190,0.06921294,0.05959401,1.16140761
8,16380,0.14648357,0.12630110,1.15979653
8,32760,0.30568551,0.25475361,1.19992611
8,131070,1.42996182,1.16700986,1.22532111
16,30,0.00062026,0.00053146,1.16709379
16,60,0.00124763,0.00104326,1.19588906
16,120,0.00258841,0.00226709,1.14173090
16,250,0.00545360,0.00487079,1.11965216
16,510,0.01150210,0.01033062,1.11339888
16,1020,0.02557768,0.02155086,1.18685153
16,2040,0.05772748,0.04320764,1.33604776
16,4090,0.12518860,0.09109114,1.37432257
16,8190,0.26605125,0.18373501,1.44801609
16,16380,0.54718335,0.38094323,1.43639081
16,32760,1.13651508,0.85425796,1.33041203
16,131070,5.38236227,4.62258226,1.16436268
32,30,0.00241913,0.01379476,0.17536597
32,60,0.00498127,0.00423668,1.17574795
32,120,0.01013897,0.00922407,1.09918605
32,250,0.02094967,0.01905087,1.09967010
32,510,0.05056911,0.03926503,1.28789197
32,1020,0.10731565,0.07973534,1.34589819
32,2040,0.22473785,0.16960236,1.32508682
32,4090,0.48167003,0.37554470,1.28259040
32,8190,1.05071315,0.82628841,1.27160582
32,16380,2.18562681,1.72933124,1.26385667
32,32760,4.49020270,3.55513914,1.26301743
64,30,0.01025119,0.03334222,0.30745365
64,60,0.02099382,0.01760913,1.19221266
64,120,0.04310272,0.03812411,1.13058937
64,250,0.09255408,0.07836650,1.18104147
64,510,0.20638537,0.16436988,1.25561551
64,1020,0.48263975,0.37093992,1.30112646
64,2040,1.09461032,0.80795499,1.35479121
64,4090,2.32133043,1.65739263,1.40059175
64,8190,4.86445031,3.36195274,1.44691216
128,30,0.04629542,0.04814209,0.96164130
128,60,0.09387140,0.07972854,1.17738765
128,120,0.18563001,0.16297601,1.13900205
128,250,0.39808522,0.33312828,1.19499076
128,510,0.93699158,0.67481130,1.38852384
128,1020,2.11220587,1.54161721,1.37012343
128,2040,5.19144555,3.39765448,1.52794982
256,30,0.23497991,0.16709172,1.40629295
256,60,0.46468686,0.34212372,1.35824213
256,120,0.97477634,0.73263529,1.33050695
256,250,2.11846235,1.63096206,1.29890352
256,510,5.61938889,3.52670665,1.59338143
512,30,1.12352779,0.85733635,1.31048659
512,60,2.30542336,1.88887802,1.22052527
512,120,5.31405069,4.18665266,1.26928387
1024,30,6.49188318,5.36760564,1.20945606
1024,60,22.28286258,10.79054572,2.06503574

p = 2013265921  (FFT prime, bit length = 31)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001728,0.03142093,0.00054992
2,60,0.00004855,0.01088022,0.00446213
2,120,0.00012805,0.00941541,0.01360047
2,250,0.00013587,0.00557833,0.02435583
2,510,0.00024985,0.00799284,0.03125962
2,1020,0.00058733,0.01424309,0.04123598
2,2040,0.00124955,0.02159364,0.05786666
2,4090,0.00266262,0.03827187,0.06957131
2,8190,0.00493472,0.06951834,0.07098448
2,16380,0.00775668,0.13100904,0.05920719
2,32760,0.01668362,0.25582017,0.06521621
2,131070,0.08284082,1.31622944,0.06293798
4,30,0.00007477,0.00964673,0.00775112
4,60,0.00013478,0.00546155,0.02467779
4,120,0.00026718,0.00683257,0.03910429
4,250,0.00054367,0.01284136,0.04233734
4,510,0.00113673,0.01949078,0.05832143
4,1020,0.00238984,0.02784055,0.08584014
4,2040,0.00473642,0.04281145,0.11063451
4,4090,0.00738931,0.07343672,0.10062148
4,8190,0.01556983,0.15453651,0.10075176
4,16380,0.03440744,0.30469383,0.11292462
4,32760,0.07501307,0.61187300,0.12259582
4,131070,0.33956555,2.46389583,0.13781652
8,30,0.00020050,0.01310842,0.01529559
8,60,0.00049546,0.02622459,0.01889310
8,120,0.00104679,0.03781015,0.02768553
8,250,0.00217078,0.04579447,0.04740263
8,510,0.00455290,0.05848359,0.07784915
8,1020,0.00722777,0.07993526,0.09042028
8,2040,0.01517813,0.09756096,0.15557587
8,4090,0.03306534,0.19136121,0.17279018
8,8190,0.07450075,0.38499567,0.19351062
8,16380,0.15645304,0.76979027,0.20324113
8,32760,0.32441411,1.55496472,0.20863117
8,131070,1.42821877,6.92200575,0.20633019
16,30,0.00086052,0.10248286,0.00839676
16,60,0.00216279,0.11603760,0.01863868
16,120,0.00451199,0.13625854,0.03311341
16,250,0.00742992,0.04439313,0.16736649
16,510,0.01531501,0.08357735,0.18324356
16,1020,0.03309144,0.16397398,0.20180909
16,2040,0.07266525,0.32399086,0.22428179
16,4090,0.15700478,0.65254404,0.24060412
16,8190,0.32401254,1.36714463,0.23699946
16,16380,0.65337492,2.86914441,0.22772465
