Prime p = 786433  (FFT prime, bit length = 20)
Bench pmbasis (divide and conquer minimal approximant basis)
rowdim	coldim	degree	ntlx	linbox	ntl/lb
4	2	32	0.0001	0.0006	0.2545
4	2	64	0.0003	0.0013	0.2587
4	2	128	0.0008	0.0031	0.2475
4	2	256	0.0017	0.0071	0.2370
4	2	512	0.0037	0.0167	0.2212
4	2	1024	0.0081	0.0377	0.2139
4	2	2048	0.0173	0.0831	0.2085
4	2	4096	0.0375	0.1807	0.2074
4	2	8192	0.0814	0.3952	0.2059
4	2	16384	0.1733	0.8648	0.2004
4	2	32768	0.3708	1.8636	0.1990
4	2	131072	1.7210	8.6258	0.1995
8	4	32	0.0004	0.0008	0.4417
8	4	64	0.0010	0.0021	0.4535
8	4	128	0.0023	0.0050	0.4624
8	4	256	0.0054	0.0117	0.4582
8	4	512	0.0121	0.0269	0.4496
8	4	1024	0.0269	0.0610	0.4402
8	4	2048	0.0596	0.1361	0.4378
8	4	4096	0.1312	0.3006	0.4364
8	4	8192	0.2927	0.6750	0.4336
8	4	16384	0.6455	1.4662	0.4402
8	4	32768	1.3939	3.2225	0.4326
8	4	131072	6.6754	15.5743	0.4286
16	8	32	0.0015	0.0022	0.6695
16	8	64	0.0038	0.0054	0.7058
16	8	128	0.0094	0.0130	0.7189
16	8	256	0.0221	0.0305	0.7245
16	8	512	0.0511	0.0711	0.7187
16	8	1024	0.1168	0.1620	0.7209
16	8	2048	0.2625	0.3731	0.7037
16	8	4096	0.5878	0.8401	0.6997
16	8	8192	1.3235	1.8899	0.7003
16	8	16384	2.9243	4.2353	0.6905
16	8	32768	6.4204	9.4157	0.6819
16	8	131072	30.7117	45.9178	0.6688
32	16	32	0.0031	0.0073	0.4273
32	16	64	0.0088	0.0181	0.4877
32	16	128	0.0229	0.0438	0.5231
32	16	256	0.0566	0.1072	0.5278
32	16	512	0.1395	0.2516	0.5544
32	16	1024	0.3373	0.5857	0.5759
32	16	2048	0.8167	1.3727	0.5949
32	16	4096	1.8920	3.1488	0.6009
32	16	8192	4.4185	7.1150	0.6210
32	16	16384	10.1732	15.9574	0.6375
32	16	32768	23.1045	35.5586	0.6498
32	16	131072	116.2214	170.9674	0.6798
64	32	32	0.0136	0.0246	0.5519
64	32	64	0.0380	0.0648	0.5872
64	32	128	0.1001	0.1691	0.5919
64	32	256	0.2525	0.4176	0.6046
64	32	512	0.6366	1.0302	0.6180
64	32	1024	1.5516	2.4468	0.6341
64	32	2048	3.6649	5.7269	0.6399
64	32	4096	8.4736	13.0443	0.6496
64	32	8192	19.6987	29.3717	0.6707
64	32	16384	44.4794	65.5925	0.6781
64	32	32768	100.0357	144.0797	0.6943
128	64	32	0.0782	0.1201	0.6510
128	64	64	0.2379	0.3546	0.6710
128	64	128	0.5698	0.9411	0.6055
128	64	256	1.3757	2.3252	0.5916
128	64	512	3.2743	5.6283	0.5818
128	64	1024	7.7280	12.6608	0.6104
128	64	2048	18.0030	28.7113	0.6270
128	64	4096	41.3498	65.3598	0.6326
128	64	8192	93.4445	141.0676	0.6624
256	128	32	0.3800	0.5136	0.7398
256	128	64	1.0483	1.4970	0.7003
256	128	128	2.6779	3.7916	0.7063
256	128	256	6.6758	9.2754	0.7197
256	128	512	15.8644	21.9823	0.7217
256	128	1024	37.2738	50.9367	0.7318
256	128	2048	86.1117	114.5326	0.7519
512	256	32	2.4696	2.6997	0.9148
512	256	64	6.5412	7.3209	0.8935
512	256	128	16.2717	17.8495	0.9116
512	256	256	39.6255	42.4051	0.9345
512	256	512	92.5259	98.6789	0.9376
1024	512	32	18.2548	13.0303	1.4010
1024	512	64	44.9711	33.8043	1.3303
1024	512	128	107.0737	83.7295	1.2788
2048	1024	32	135.8237	77.0995	1.7617
2048	1024	64	321.5469	192.5427	1.6700


