Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001394,0.00016016,0.08704584
2,60,0.00002934,0.00016280,0.18024179
2,120,0.00007095,0.00028867,0.24578160
2,250,0.00009487,0.00063412,0.14960299
2,510,0.00018373,0.00118455,0.15510239
2,1020,0.00038258,0.00249401,0.15339807
2,2040,0.00080702,0.00496543,0.16252842
2,4090,0.00172109,0.01018175,0.16903723
2,8190,0.00369971,0.02095536,0.17655192
2,16380,0.00779219,0.04210905,0.18504774
2,32760,0.01677351,0.08389040,0.19994554
2,131070,0.08665729,0.34169381,0.25361096
4,30,0.00005247,0.00012249,0.42839300
4,60,0.00027860,0.00020422,1.36423286
4,120,0.00023410,0.00039065,0.59925508
4,250,0.00041639,0.00082075,0.50733050
4,510,0.00062805,0.00161554,0.38875818
4,1020,0.00096767,0.00338615,0.28577419
4,2040,0.00185086,0.00709709,0.26079101
4,4090,0.00375223,0.01450202,0.25873823
4,8190,0.00798578,0.03097310,0.25782950
4,16380,0.01774108,0.06318011,0.28080170
4,32760,0.03995538,0.11982493,0.33344794
4,131070,0.21791811,0.57734402,0.37744932
8,30,0.00017901,0.00021645,0.82703022
8,60,0.00022427,0.00039448,0.56850613
8,120,0.00037245,0.00074424,0.50043803
8,250,0.00072542,0.00152169,0.47671865
8,510,0.00157484,0.00315782,0.49871224
8,1020,0.00300394,0.00673961,0.44571369
8,2040,0.00651017,0.01407314,0.46259513
8,4090,0.01558792,0.03005777,0.51859884
8,8190,0.03819508,0.05927917,0.64432551
8,16380,0.08331244,0.12072825,0.69008244
8,32760,0.17999356,0.25076378,0.71778135
8,131070,0.90781346,1.20808834,0.75144626
16,30,0.00066677,0.00052994,1.25819100
16,60,0.00073498,0.00108268,0.67885248
16,120,0.00133039,0.00226514,0.58733232
16,250,0.00271554,0.00493878,0.54984022
16,510,0.00572436,0.01035859,0.55262012
16,1020,0.01317782,0.02162201,0.60946310
16,2040,0.03125923,0.04516138,0.69216728
16,4090,0.06840016,0.08944638,0.76470577
16,8190,0.14544843,0.18608947,0.78160479
16,16380,0.30258014,0.37559829,0.80559510
16,32760,0.62542913,0.86940652,0.71937479
16,131070,3.35340837,4.64442551,0.72202867
32,30,0.00136526,0.01414567,0.09651404
32,60,0.00263275,0.00425783,0.61833119
32,120,0.00513504,0.00923176,0.55623649
32,250,0.01128333,0.01910244,0.59067484
32,510,0.02784431,0.03888337,0.71609822
32,1020,0.06178646,0.08036768,0.76879735
32,2040,0.12828121,0.17061621,0.75186999
32,4090,0.28800463,0.38371997,0.75055941
32,8190,0.63302315,0.83027190,0.76242872
32,16380,1.32583209,1.71053770,0.77509668
32,32760,2.87289538,3.53323528,0.81310616
64,30,0.00548456,0.05009204,0.10948958
64,60,0.01245402,0.01775277,0.70152574
64,120,0.02194552,0.03792650,0.57863290
64,250,0.04866619,0.07883733,0.61729877
64,510,0.11602991,0.16692318,0.69510963
64,1020,0.25851480,0.36490988,0.70843464
64,2040,0.59225466,0.79901784,0.74122834
64,4090,1.26796561,1.66019406,0.76374542
64,8190,2.68235100,3.38413069,0.79262630
128,30,0.03221579,0.04893172,0.65838257
128,60,0.06283241,0.07524311,0.83505871
128,120,0.11540591,0.16477910,0.70036740
128,250,0.24519124,0.36618013,0.66959188
128,510,0.65727506,0.80147473,0.82008207
128,1020,1.43050386,1.69100280,0.84595002
128,2040,3.25956564,3.45794705,0.94263029
256,30,0.14569343,0.17331115,0.84064663
256,60,0.28126249,0.37783937,0.74439697
256,120,0.63257771,0.86584895,0.73058668
256,250,1.51364535,1.79143082,0.84493653
256,510,3.55918657,3.58468151,0.99288781
512,30,0.75799244,1.02081757,0.74253467
512,60,1.55372071,2.04615546,0.75933659
512,120,4.55442606,4.30730609,1.05737228
1024,30,4.37314030,5.54250229,0.78901912


p = 2013265921  (FFT prime, bit length = 31)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001712,0.04067024,0.00042102
2,60,0.00004647,0.01092226,0.00425498
2,120,0.00012700,0.00688730,0.01843916
2,250,0.00013771,0.00481347,0.02861013
2,510,0.00027989,0.00724981,0.03860723
2,1020,0.00053575,0.01344980,0.03983301
2,2040,0.00127958,0.02158175,0.05929014
2,4090,0.00270134,0.03860164,0.06998001
2,8190,0.00516151,0.06950062,0.07426572
2,16380,0.00779148,0.13149344,0.05925375
2,32760,0.01676454,0.25550313,0.06561382
2,131070,0.08363137,1.32651781,0.06304580
4,30,0.00007329,0.01049752,0.00698127
4,60,0.00010179,0.00631205,0.01612599
4,120,0.00013582,0.00772360,0.01758467
4,250,0.00023449,0.01394143,0.01681943
4,510,0.00044329,0.01992222,0.02225098
4,1020,0.00089887,0.02858349,0.03144707
4,2040,0.00181968,0.04549163,0.04000028
4,4090,0.00375991,0.07261983,0.05177518
4,8190,0.00790387,0.15453947,0.05114469
4,16380,0.01755212,0.30635864,0.05729271
4,32760,0.04006072,0.61523326,0.06511469
4,131070,0.20488696,2.56578689,0.07985346
8,30,0.00040841,0.01326476,0.03078888
8,60,0.00022536,0.02638438,0.00854134
8,120,0.00041190,0.03598133,0.01144747
8,250,0.00083196,0.04688083,0.01774629
8,510,0.00173081,0.05979397,0.02894621
8,1020,0.00346616,0.08549035,0.04054446
8,2040,0.00748835,0.09953240,0.07523526
8,4090,0.01717157,0.20010833,0.08581138
8,8190,0.04139819,0.39031557,0.10606339
8,16380,0.08814580,0.78436699,0.11237826
8,32760,0.18719505,1.66232331,0.11261049
8,131070,0.94479315,7.22296810,0.13080400
16,30,0.00068312,0.10239461,0.00667147
16,60,0.00084341,0.11542700,0.00730687
16,120,0.00166755,0.13515934,0.01233768
16,250,0.00338454,0.04713360,0.07180726
16,510,0.00718833,0.08419792,0.08537424
16,1020,0.01604123,0.16357405,0.09806708
16,2040,0.03830106,0.32382620,0.11827658
16,4090,0.07897147,0.65432005,0.12069241
16,8190,0.16693417,1.35157952,0.12351043
16,16380,0.35669506,2.91869805,0.12221033
16,32760,0.76665264,6.09929149,0.12569536
16,131070,3.94408067,27.82483787,0.14174676
32,30,0.00160751,0.41681287,0.00385667
32,60,0.00323208,0.04658347,0.06938246
32,120,0.00628051,0.08256853,0.07606421
32,250,0.01350815,0.15635152,0.08639603
32,510,0.03357120,0.31206623,0.10757717
32,1020,0.07111288,0.63008022,0.11286322
32,2040,0.14732836,1.33369602,0.11046622
32,4090,0.31235511,2.84090526,0.10994915
32,8190,0.65232507,5.74490228,0.11354851
32,16380,1.40804623,11.67578377,0.12059544
32,32760,3.31019959,23.01312907,0.14383961
64,30,0.00787807,0.08151602,0.09664442
64,60,0.01581676,0.14960744,0.10572176
64,120,0.03142533,0.29126946,0.10789092
64,250,0.06961028,0.61585384,0.11303051
64,510,0.15930247,1.34302028,0.11861509
64,1020,0.32934000,2.79003056,0.11804172
64,2040,0.73185325,5.62812112,0.13003509
64,4090,1.63375017,11.48087923,0.14230183
64,8190,3.46166057,23.05190988,0.15016806
128,30,0.05151516,0.31104761,0.16561826
128,60,0.09888813,0.62146074,0.15912209
128,120,0.19670389,1.34646214,0.14608943
128,250,0.38640826,2.95800687,0.13063129
128,510,0.94143031,6.01930246,0.15640189
128,1020,2.13309996,12.43094531,0.17159596
128,2040,4.51868085,25.62202217,0.17635926
256,30,0.28875798,1.34703691,0.21436530
256,60,0.58274138,2.83859258,0.20529236
256,120,1.35395718,5.94811658,0.22762788
256,250,2.81384611,12.73165487,0.22101181
256,510,6.27929267,26.20439645,0.23962745
512,30,1.94235452,6.64727941,0.29220293
512,60,4.19573092,13.47378401,0.31139960
512,120,9.10438990,27.86888423,0.32668656
1024,30,13.47635559,32.92267192,0.40933359


p = 2748779069441  (FFT prime, bit length = 42)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001744,0.05451577,0.00031985
2,60,0.00004730,0.02780440,0.00170106
2,120,0.00012442,0.00934119,0.01331960
2,250,0.00013601,0.00513419,0.02649044
2,510,0.00028118,0.00775135,0.03627445
2,1020,0.00059619,0.01358950,0.04387160
2,2040,0.00127572,0.02314894,0.05510919
2,4090,0.00257806,0.04463453,0.05775941
2,8190,0.00476913,0.08709481,0.05475796
2,16380,0.00782412,0.16976121,0.04608896
2,32760,0.01671318,0.33424100,0.05000338
2,131070,0.08336823,1.27845878,0.06520995
4,30,0.00007382,0.01220696,0.00604712
4,60,0.00013548,0.00946844,0.01430848
4,120,0.00020962,0.01067250,0.01964114
4,250,0.00038313,0.00926766,0.04134010
4,510,0.00074927,0.01189614,0.06298448
4,1020,0.00152066,0.02133553,0.07127365
4,2040,0.00312851,0.04069781,0.07687177
4,4090,0.00418722,0.07873350,0.05318220
4,8190,0.00833505,0.15555564,0.05358243
4,16380,0.01836341,0.31024847,0.05918936
4,32760,0.04234009,0.59634943,0.07099880
4,131070,0.21359524,3.04056340,0.07024857
8,30,0.00041871,0.02146462,0.01950689
8,60,0.00022967,0.02293276,0.01001475
8,120,0.00040888,0.01081658,0.03780121
8,250,0.00079942,0.01952625,0.04094093
8,510,0.00163397,0.02786120,0.05864661
8,1020,0.00337342,0.05158683,0.06539313
8,2040,0.00723600,0.10094236,0.07168452
8,4090,0.01669127,0.19665448,0.08487613
8,8190,0.04009241,0.37683147,0.10639347
8,16380,0.08670944,0.75345829,0.11508194
8,32760,0.18968136,1.86520134,0.10169484
8,131070,0.96169400,8.36498952,0.11496655
16,30,0.00052918,0.01818186,0.02910505
16,60,0.00084707,0.01769790,0.04786286
16,120,0.00168062,0.02886864,0.05821608
16,250,0.00348971,0.05415275,0.06444203
16,510,0.00733805,0.09440491,0.07772957
16,1020,0.01615488,0.17388065,0.09290785
16,2040,0.03813384,0.32945688,0.11574760
16,4090,0.07935494,0.75348387,0.10531737
16,8190,0.16954308,1.56585405,0.10827515
16,16380,0.35356156,3.47974324,0.10160565
16,32760,0.80237988,7.07740048,0.11337212
16,131070,3.97737589,32.28691882,0.12318846
32,30,0.00187915,0.05351074,0.03511730
32,60,0.00332018,0.08380114,0.03961977
32,120,0.00661548,0.12718380,0.05201509
32,250,0.01486904,0.20752167,0.07165055
32,510,0.03518340,0.34669560,0.10148209
32,1020,0.07277617,0.70304932,0.10351504
32,2040,0.15266296,1.46579170,0.10415051
32,4090,0.31561554,3.16621613,0.09968225
32,8190,0.69423207,6.61877886,0.10488824
32,16380,1.50275763,13.40028208,0.11214373
32,32760,3.51406757,26.22135525,0.13401548
