****************
*  2024-10-28  *
****************

- depth is log(fft length)
- timing DFT (length power of 2) for several bit lengths and depths
depth	sd_fft	dft	idft	dft_t	idft_t
3	1.9e-08	7.6e-09	1.5e-08	7.9e-09	1.3e-08	
4	2.2e-08	1.7e-08	3.4e-08	2.7e-08	3.6e-08	
5	3.1e-08	4.5e-08	9.1e-08	6.2e-08	9.1e-08	
6	6.2e-08	1.2e-07	1.8e-07	1.7e-07	2.3e-07	
7	1.3e-07	3.0e-07	4.7e-07	3.5e-07	5.2e-07	
8	2.8e-07	7.0e-07	9.1e-07	8.6e-07	1.1e-06	
9	6.4e-07	1.6e-06	2.2e-06	1.8e-06	2.5e-06	
10	1.4e-06	3.6e-06	4.3e-06	4.2e-06	5.5e-06	
11	3.0e-06	8.0e-06	1.0e-05	8.5e-06	1.2e-05	
12	6.3e-06	1.8e-05	2.0e-05	2.0e-05	2.7e-05	
13	1.4e-05	3.8e-05	4.7e-05	3.9e-05	5.7e-05	
14	3.0e-05	8.6e-05	9.0e-05	8.9e-05	1.2e-04	
15	6.3e-05	1.8e-04	2.1e-04	1.8e-04	2.5e-04	
16	1.3e-04	3.9e-04	4.0e-04	4.0e-04	5.3e-04	
17	2.8e-04	8.3e-04	9.3e-04	7.9e-04	1.1e-03	
18	6.2e-04	1.8e-03	1.9e-03	1.8e-03	2.4e-03	
19	1.3e-03	4.1e-03	4.3e-03	3.7e-03	5.1e-03	
20	2.8e-03	8.9e-03	8.6e-03	7.9e-03	1.1e-02	
21	6.4e-03	1.9e-02	2.0e-02	1.7e-02	2.5e-02	
22	1.4e-02	4.6e-02	4.1e-02	3.7e-02	5.4e-02	
23	3.1e-02	9.4e-02	9.1e-02	7.9e-02	1.1e-01	
24	6.6e-02	2.0e-01	1.8e-01	1.7e-01	2.3e-01	
25	1.4e-01	4.2e-01	4.1e-01	3.5e-01	4.9e-01
