****************
*  2024-10-28  *
****************

20 bits         31 bits         42 bits         50 bits         60 bits
depth   t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit
3       3.0e-08|1.2e+01 3.1e-08|1.2e+01 3.1e-08|1.2e+01 3.1e-08|1.2e+01 3.1e-08|1.2e+01
4       6.5e-08|1.3e+01 6.6e-08|1.3e+01 6.6e-08|1.3e+01 6.5e-08|1.3e+01 6.5e-08|1.3e+01
5       8.6e-08|8.3e+00 8.6e-08|8.3e+00 8.6e-08|8.3e+00 8.6e-08|8.3e+00 8.6e-08|8.3e+00
6       1.3e-07|6.2e+00 1.3e-07|6.2e+00 1.2e-07|6.0e+00 1.2e-07|6.0e+00 1.2e-07|6.0e+00
7       2.0e-07|4.9e+00 2.0e-07|4.9e+00 2.0e-07|4.9e+00 2.0e-07|4.9e+00 2.0e-07|4.9e+00
8       3.7e-07|4.5e+00 3.7e-07|4.5e+00 3.7e-07|4.5e+00 3.7e-07|4.5e+00 3.7e-07|4.5e+00
9       6.6e-07|4.0e+00 6.6e-07|4.0e+00 6.6e-07|4.0e+00 6.6e-07|4.0e+00 6.6e-07|4.0e+00
10      1.2e-06|3.8e+00 1.2e-06|3.8e+00 1.2e-06|3.8e+00 1.2e-06|3.8e+00 1.2e-06|3.8e+00
11      2.4e-06|3.6e+00 2.4e-06|3.6e+00 2.4e-06|3.6e+00 2.4e-06|3.6e+00 2.4e-06|3.6e+00
12      4.7e-06|3.6e+00 4.7e-06|3.6e+00 4.7e-06|3.6e+00 4.8e-06|3.6e+00 4.7e-06|3.6e+00
13      9.5e-06|3.6e+00 9.5e-06|3.6e+00 9.5e-06|3.6e+00 9.5e-06|3.6e+00 9.5e-06|3.6e+00
14      4.8e-05|9.2e+00 4.9e-05|9.2e+00 4.9e-05|9.2e+00 4.9e-05|9.2e+00 4.9e-05|9.2e+00
15      1.1e-04|1.1e+01 1.1e-04|1.1e+01 1.1e-04|1.1e+01 1.1e-04|1.1e+01 1.1e-04|1.1e+01
16      2.5e-04|1.2e+01 2.5e-04|1.2e+01 2.5e-04|1.2e+01 2.5e-04|1.2e+01 2.5e-04|1.2e+01
17      5.6e-04|1.3e+01 5.6e-04|1.3e+01 5.6e-04|1.3e+01 5.6e-04|1.3e+01 5.6e-04|1.3e+01
18      1.2e-03|1.4e+01 1.2e-03|1.4e+01 1.2e-03|1.4e+01 1.2e-03|1.4e+01 1.2e-03|1.4e+01
19        na   |  na    1.8e-03|1.1e+01 1.8e-03|1.1e+01 1.8e-03|1.1e+01 1.8e-03|1.1e+01
20        na   |  na    3.0e-03|8.9e+00 3.0e-03|8.9e+00 3.0e-03|8.9e+00 3.0e-03|8.9e+00
21        na   |  na    5.9e-03|8.7e+00 5.9e-03|8.7e+00 5.9e-03|8.7e+00 5.9e-03|8.7e+00
22        na   |  na    1.5e-02|1.1e+01 1.5e-02|1.1e+01 1.5e-02|1.1e+01 1.5e-02|1.1e+01
23        na   |  na    3.2e-02|1.2e+01 3.2e-02|1.2e+01 3.2e-02|1.2e+01 3.2e-02|1.2e+01
24        na   |  na    6.5e-02|1.2e+01 6.5e-02|1.2e+01 6.5e-02|1.2e+01 6.6e-02|1.2e+01
25        na   |  na    1.3e-01|1.2e+01 1.3e-01|1.2e+01 1.3e-01|1.2e+01 1.3e-01|1.2e+01

