20 bits         31 bits         42 bits         50 bits         60 bits
depth   t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit
3       9.3e-08|3.6e+01 9.2e-08|3.5e+01 8.4e-08|3.2e+01 8.4e-08|3.2e+01 8.4e-08|3.2e+01
4       1.2e-07|2.3e+01 1.2e-07|2.3e+01 1.2e-07|2.3e+01 1.2e-07|2.3e+01 1.2e-07|2.3e+01
5       1.5e-07|1.5e+01 1.5e-07|1.5e+01 1.5e-07|1.4e+01 1.6e-07|1.6e+01 1.6e-07|1.5e+01
6       1.9e-07|9.4e+00 1.9e-07|9.3e+00 1.9e-07|9.4e+00 1.9e-07|9.3e+00 1.9e-07|9.3e+00
7       2.6e-07|6.4e+00 2.6e-07|6.4e+00 2.6e-07|6.3e+00 2.6e-07|6.3e+00 2.6e-07|6.3e+00
8       4.0e-07|4.8e+00 4.2e-07|5.1e+00 4.2e-07|5.1e+00 4.0e-07|4.8e+00 3.9e-07|4.8e+00
9       6.0e-07|3.7e+00 6.1e-07|3.7e+00 6.1e-07|3.7e+00 6.1e-07|3.7e+00 6.1e-07|3.7e+00
10      1.0e-06|3.1e+00 1.0e-06|3.1e+00 1.0e-06|3.1e+00 1.0e-06|3.1e+00 1.0e-06|3.1e+00
11      1.9e-06|2.8e+00 2.0e-06|3.0e+00 1.8e-06|2.8e+00 1.8e-06|2.8e+00 1.8e-06|2.8e+00
12      3.5e-06|2.6e+00 3.4e-06|2.6e+00 3.4e-06|2.6e+00 3.4e-06|2.6e+00 3.5e-06|2.6e+00
13      6.7e-06|2.5e+00 6.6e-06|2.5e+00 6.6e-06|2.5e+00 6.6e-06|2.5e+00 6.6e-06|2.5e+00
14      3.4e-05|6.4e+00 3.4e-05|6.4e+00 3.2e-05|6.0e+00 3.1e-05|5.9e+00 3.1e-05|5.9e+00
15      7.6e-05|7.2e+00 7.6e-05|7.1e+00 7.5e-05|7.1e+00 7.6e-05|7.2e+00 7.5e-05|7.1e+00
16      1.7e-04|7.9e+00 1.7e-04|7.8e+00 1.6e-04|7.8e+00 1.6e-04|7.8e+00 1.6e-04|7.8e+00
17      3.7e-04|8.8e+00 3.5e-04|8.3e+00 3.5e-04|8.2e+00 3.4e-04|8.2e+00 3.5e-04|8.2e+00
18      7.2e-04|8.5e+00 7.1e-04|8.4e+00 7.1e-04|8.4e+00 7.1e-04|8.4e+00 7.1e-04|8.4e+00
19        na   |  na    1.5e-03|8.7e+00 1.5e-03|8.6e+00 1.4e-03|8.5e+00 1.4e-03|8.5e+00
20        na   |  na    3.5e-03|1.0e+01 3.3e-03|9.7e+00 3.1e-03|9.1e+00 3.1e-03|9.1e+00
21        na   |  na    7.1e-03|1.0e+01 7.0e-03|1.0e+01 7.1e-03|1.0e+01 7.0e-03|1.0e+01
22        na   |  na    1.5e-02|1.1e+01 1.5e-02|1.1e+01 1.5e-02|1.1e+01 1.5e-02|1.1e+01
23        na   |  na    3.0e-02|1.1e+01 3.0e-02|1.1e+01 3.0e-02|1.1e+01 3.0e-02|1.1e+01
24        na   |  na    6.0e-02|1.1e+01 6.0e-02|1.1e+01 6.1e-02|1.1e+01 6.1e-02|1.1e+01
25        na   |  na    1.2e-01|1.1e+01 1.2e-01|1.1e+01 1.2e-01|1.1e+01 1.2e-01|1.1e+01
