
***************
*  libellule  *
***************

rec: recursive dif
iter: iterative dif
red: following reduction tree
rec-r4: recursive radix 4

order   rec2    iter2   red     rec4
3       2.7e-08 2.9e-08 3.0e-08 2.7e-08
4       5.0e-08 5.3e-08 5.8e-08 5.6e-08
5       1.0e-07 1.1e-07 1.2e-07 1.0e-07
6       2.2e-07 2.3e-07 2.7e-07 2.5e-07
7       4.9e-07 5.2e-07 6.0e-07 5.2e-07
8       1.1e-06 1.2e-06 1.4e-06 1.3e-06
9       2.7e-06 2.8e-06 3.1e-06 2.8e-06
10      6.0e-06 6.4e-06 7.0e-06 6.6e-06
11      1.3e-05 1.4e-05 1.5e-05 1.4e-05
12      3.0e-05 3.2e-05 3.4e-05 3.4e-05
13      6.4e-05 7.0e-05 7.4e-05 6.7e-05
14      1.4e-04 1.5e-04 1.6e-04 1.5e-04
15      3.0e-04 3.3e-04 3.5e-04 3.0e-04
16      6.5e-04 7.4e-04 7.5e-04 7.0e-04
17      1.4e-03 1.7e-03 1.6e-03 1.4e-03
18      2.9e-03 3.3e-03 3.4e-03 3.1e-03
19      6.5e-03 7.0e-03 7.4e-03 6.5e-03
20      1.4e-02 1.7e-02 1.6e-02 1.5e-02
21      3.0e-02 4.0e-02 3.4e-02 3.0e-02
22      6.4e-02 8.2e-02 7.2e-02 6.5e-02
23      1.4e-01 1.8e-01 1.6e-01 1.4e-01
24      2.9e-01 3.7e-01 3.1e-01 2.9e-01
25      6.1e-01 7.8e-01 6.6e-01 6.2e-01

*************
*  argiope  *
*************

order   rec2    iter2   red     rec4
3       3.8e-08 4.1e-08 4.0e-08 3.8e-08
4       5.2e-08 5.7e-08 6.4e-08 5.7e-08
5       8.5e-08 9.6e-08 1.1e-07 8.8e-08
6       1.7e-07 1.9e-07 2.0e-07 2.0e-07
7       3.5e-07 4.1e-07 4.3e-07 3.8e-07
8       7.9e-07 8.9e-07 9.4e-07 9.2e-07
9       1.7e-06 2.0e-06 2.0e-06 2.0e-06
10      4.2e-06 4.4e-06 4.6e-06 4.5e-06
11      8.7e-06 9.8e-06 1.0e-05 9.5e-06
12      1.9e-05 2.2e-05 2.2e-05 2.2e-05
13      4.2e-05 4.7e-05 4.8e-05 4.5e-05
14      9.1e-05 1.0e-04 1.0e-04 1.0e-04
15      2.0e-04 2.2e-04 2.4e-04 2.1e-04
16      4.2e-04 4.7e-04 5.2e-04 4.8e-04
17      8.9e-04 1.0e-03 1.1e-03 9.8e-04
18      1.9e-03 2.2e-03 2.3e-03 2.2e-03
19      4.0e-03 4.6e-03 4.8e-03 4.4e-03
20      8.6e-03 9.6e-03 1.0e-02 9.7e-03
21      1.9e-02 2.3e-02 2.2e-02 2.0e-02
22      4.0e-02 5.3e-02 4.5e-02 4.5e-02
23      8.4e-02 1.3e-01 9.5e-02 9.2e-02
24      1.9e-01 2.6e-01 2.0e-01 2.0e-01
25      3.9e-01 5.5e-01 4.4e-01 4.1e-01
