timing init FFT tables + DIF evaluate

prime 1139410705724735489, 60 bits, 1 + 2**52 * 11 * 23

-> order is fft level; length of fft is 2**order
-> -b suffix indicates bench, no modular reductions done
-> rec_pn : recursive DIF with prenorm (4 -> unroll4)
   rec_sp : recursive DIF with Shoup precomp (4 -> unroll4)
    --> excluding the time for precomputing powers of w;
    --> rather naive implementations (no delayed reductions);

Currently not printed:
-> init is computing tables of powers of w
-> init_pr is the same powers + for each of them, precomputed values for multiplication by this

***************
*  LIBELLULE  *
***************

order   rec-b   iter-b  rec4-b  rec_pn  rec_pn4 rec_sp  rec_sp4
3       2.8e-08 2.8e-08 2.2e-08 4.4e-08 4.8e-08 4.2e-08 4.3e-08
4       4.0e-08 3.8e-08 3.8e-08 1.0e-07 1.1e-07 8.9e-08 9.0e-08
5       6.9e-08 6.4e-08 5.5e-08 2.4e-07 2.4e-07 1.9e-07 2.0e-07
6       1.3e-07 1.2e-07 1.4e-07 5.6e-07 5.8e-07 4.3e-07 4.4e-07
7       2.6e-07 2.4e-07 2.3e-07 1.3e-06 1.3e-06 1.0e-06 9.8e-07
8       5.5e-07 5.1e-07 6.3e-07 3.0e-06 3.3e-06 2.7e-06 2.2e-06
9       1.2e-06 1.1e-06 1.2e-06 6.9e-06 6.5e-06 5.2e-06 4.9e-06
10      2.6e-06 2.6e-06 3.1e-06 1.5e-05 1.5e-05 1.2e-05 1.1e-05
11      5.8e-06 5.5e-06 5.8e-06 3.5e-05 3.3e-05 2.6e-05 2.4e-05
12      1.2e-05 1.2e-05 1.5e-05 7.9e-05 7.0e-05 5.9e-05 5.2e-05
13      2.6e-05 2.6e-05 2.8e-05 1.9e-04 1.5e-04 1.3e-04 1.1e-04
14      5.6e-05 5.6e-05 6.8e-05 3.8e-04 3.3e-04 2.8e-04 2.4e-04
15      1.2e-04 1.3e-04 1.3e-04 8.3e-04 7.0e-04 6.1e-04 5.3e-04
16      2.6e-04 2.8e-04 3.1e-04 1.8e-03 1.5e-03 1.4e-03 1.1e-03
17      6.3e-04 6.0e-04 6.2e-04 3.9e-03 3.2e-03 2.8e-03 2.5e-03
18      1.3e-03 1.4e-03 1.6e-03 8.5e-03 6.9e-03 6.1e-03 5.1e-03
19      2.8e-03 2.9e-03 2.8e-03 1.8e-02 1.5e-02 1.3e-02 1.1e-02
20      7.1e-03 1.1e-02 6.8e-03 3.7e-02 3.2e-02 3.0e-02 2.3e-02
21      1.5e-02 2.6e-02 1.4e-02 7.9e-02 6.6e-02 5.9e-02 4.9e-02
22      3.7e-02 5.9e-02 3.2e-02 1.8e-01 1.4e-01 1.3e-01 1.1e-01
23      8.0e-02 1.3e-01 6.5e-02 3.7e-01 3.0e-01 2.6e-01 2.3e-01
24      1.7e-01 2.8e-01 1.5e-01 7.7e-01 6.2e-01 5.7e-01 4.7e-01
25      4.0e-01 6.2e-01 3.5e-01 1.7e+00 1.4e+00 1.2e+00 1.0e+00

*************
*  MACHAON  *
*************

*************
*  ARGIOPE  *
*************

*************
*  GROBNER  *
*************

order   rec-b   iter-b  rec4-b  rec_pn  rec_pn4 rec_sp  rec_sp4
3       3.2e-05 3.0e-05 2.9e-05 3.1e-05 2.7e-05 1.7e-07 9.1e-08
4       8.9e-08 9.6e-08 8.9e-08 1.5e-07 1.5e-07 1.3e-07 1.3e-07
5       1.1e-07 1.1e-07 1.1e-07 2.8e-07 2.7e-07 2.3e-07 2.2e-07
6       1.6e-07 1.4e-07 1.9e-07 5.8e-07 5.5e-07 4.4e-07 4.2e-07
7       2.7e-07 2.1e-07 2.9e-07 1.3e-06 1.2e-06 9.6e-07 8.8e-07
8       5.4e-07 4.1e-07 6.9e-07 2.9e-06 2.7e-06 2.1e-06 1.9e-06
9       1.1e-06 7.0e-07 1.2e-06 6.6e-06 6.1e-06 4.9e-06 4.3e-06
10      2.3e-06 1.7e-06 3.1e-06 1.5e-05 1.4e-05 1.1e-05 9.4e-06
11      4.8e-06 3.5e-06 5.8e-06 3.3e-05 3.0e-05 2.6e-05 2.1e-05
12      1.0e-05 7.6e-06 1.4e-05 7.3e-05 6.6e-05 5.2e-05 4.5e-05
13      2.2e-05 1.5e-05 2.7e-05 1.6e-04 1.4e-04 1.1e-04 9.7e-05
14      4.8e-05 3.9e-05 6.5e-05 3.5e-04 3.1e-04 2.4e-04 2.1e-04
15      1.0e-04 6.8e-05 1.3e-04 7.6e-04 6.6e-04 5.2e-04 4.5e-04
16      2.2e-04 1.8e-04 3.0e-04 1.6e-03 1.4e-03 1.1e-03 9.6e-04
17      4.2e-04 4.2e-04 5.8e-04 3.5e-03 3.0e-03 2.4e-03 2.0e-03
18      9.6e-04 1.2e-03 1.3e-03 7.4e-03 6.4e-03 5.1e-03 4.3e-03
19      2.3e-03 2.7e-03 2.6e-03 1.6e-02 1.4e-02 1.1e-02 9.0e-03
20      4.7e-03 5.8e-03 6.0e-03 4.1e-02 2.9e-02 2.9e-02 1.9e-02
21      1.1e-02 1.2e-02 1.2e-02 1.0e-01 6.0e-02 7.3e-02 4.1e-02
22      2.7e-02 3.4e-02 3.0e-02 2.3e-01 1.3e-01 1.7e-01 8.6e-02
23      6.1e-02 1.0e-01 6.1e-02 5.3e-01 2.7e-01 3.9e-01 1.8e-01
24      1.3e-01 2.3e-01 1.4e-01 1.2e+00 5.6e-01 8.8e-01 3.8e-01
25      3.0e-01 4.9e-01 2.8e-01 2.6e+00 1.2e+00 1.9e+00 8.1e-01

