Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
I	4	2	128	128	0.004449
II	4	2	128	128	0.004919
III	4	2	128	128	0.004421
IV	4	2	128	128	0.007560
V	4	2	128	128	0.006431
NEW	4	2	128	128	0.002778

~~~~WARMUP DONE~~~~
I	2	1	4	4	0.000011
II	2	1	4	4	0.000011
III	2	1	4	4	0.000012
IV	2	1	4	4	0.000014
V	2	1	4	4	0.000012
NEW	2	1	4	4	0.000007

I	1	2	4	4	0.000008
II	1	2	4	4	0.000011
III	1	2	4	4	0.000012
IV	1	2	4	4	0.000017
V	1	2	4	4	0.000018
NEW	1	2	4	4	0.000004

I	2	1	4	4	0.000016
II	2	1	4	4	0.000017
III	2	1	4	4	0.000017
IV	2	1	4	4	0.000019
V	2	1	4	4	0.000016
NEW	2	1	4	4	0.000011

I	1	2	4	4	0.000013
II	1	2	4	4	0.000014
III	1	2	4	4	0.000014
IV	1	2	4	4	0.000016
V	1	2	4	4	0.000013
NEW	1	2	4	4	0.000004

I	2	1	4	4	0.000017
II	2	1	4	4	0.000018
III	2	1	4	4	0.000018
IV	2	1	4	4	0.000021
V	2	1	4	4	0.000017
NEW	2	1	4	4	0.000011

I	1	2	4	4	0.000013
II	1	2	4	4	0.000014
III	1	2	4	4	0.000015
IV	1	2	4	4	0.000018
V	1	2	4	4	0.000011
NEW	1	2	4	4	0.000003

I	2	1	8	8	0.000023
II	2	1	8	8	0.000025
III	2	1	8	8	0.000027
IV	2	1	8	8	0.000034
V	2	1	8	8	0.000032
NEW	2	1	8	8	0.000019

I	1	2	8	8	0.000019
II	1	2	8	8	0.000022
III	1	2	8	8	0.000022
IV	1	2	8	8	0.000030
V	1	2	8	8	0.000027
NEW	1	2	8	8	0.000004

I	2	1	8	8	0.000024
II	2	1	8	8	0.000028
III	2	1	8	8	0.000028
IV	2	1	8	8	0.000036
V	2	1	8	8	0.000031
NEW	2	1	8	8	0.000016

I	1	2	8	8	0.000018
II	1	2	8	8	0.000021
III	1	2	8	8	0.000021
IV	1	2	8	8	0.000028
V	1	2	8	8	0.000026
NEW	1	2	8	8	0.000004

I	2	1	8	8	0.000024
II	2	1	8	8	0.000027
III	2	1	8	8	0.000029
IV	2	1	8	8	0.000036
V	2	1	8	8	0.000031
NEW	2	1	8	8	0.000015

I	1	2	8	8	0.000016
II	1	2	8	8	0.000020
III	1	2	8	8	0.000021
IV	1	2	8	8	0.000030
V	1	2	8	8	0.000030
NEW	1	2	8	8	0.000004

I	2	1	16	16	0.000052
II	2	1	16	16	0.000066
III	2	1	16	16	0.000071
IV	2	1	16	16	0.000103
V	2	1	16	16	0.000086
NEW	2	1	16	16	0.000039

I	1	2	16	16	0.000035
II	1	2	16	16	0.000052
III	1	2	16	16	0.000054
IV	1	2	16	16	0.000075
V	1	2	16	16	0.000062
NEW	1	2	16	16	0.000005

I	2	1	16	16	0.000050
II	2	1	16	16	0.000068
III	2	1	16	16	0.000072
IV	2	1	16	16	0.000101
V	2	1	16	16	0.000085
NEW	2	1	16	16	0.000040

I	1	2	16	16	0.000038
II	1	2	16	16	0.000057
III	1	2	16	16	0.000053
IV	1	2	16	16	0.000076
V	1	2	16	16	0.000063
NEW	1	2	16	16	0.000005

I	2	1	16	16	0.000053
II	2	1	16	16	0.000070
III	2	1	16	16	0.000081
IV	2	1	16	16	0.000112
V	2	1	16	16	0.000087
NEW	2	1	16	16	0.000042

I	1	2	16	16	0.000036
II	1	2	16	16	0.000055
III	1	2	16	16	0.000055
IV	1	2	16	16	0.000076
V	1	2	16	16	0.000065
NEW	1	2	16	16	0.000005

I	2	1	32	32	0.000124
II	2	1	32	32	0.000221
III	2	1	32	32	0.000212
IV	2	1	32	32	0.000327
V	2	1	32	32	0.000407
NEW	2	1	32	32	0.000147

I	1	2	32	32	0.000086
II	1	2	32	32	0.000193
III	1	2	32	32	0.000170
IV	1	2	32	32	0.000275
V	1	2	32	32	0.000222
NEW	1	2	32	32	0.000013

I	2	1	32	32	0.000166
II	2	1	32	32	0.000224
III	2	1	32	32	0.000213
IV	2	1	32	32	0.000323
V	2	1	32	32	0.000261
NEW	2	1	32	32	0.000126

I	1	2	32	32	0.000084
II	1	2	32	32	0.000184
III	1	2	32	32	0.000155
IV	1	2	32	32	0.000235
V	1	2	32	32	0.000190
NEW	1	2	32	32	0.000010

I	2	1	32	32	0.000124
II	2	1	32	32	0.000228
III	2	1	32	32	0.000217
IV	2	1	32	32	0.000325
V	2	1	32	32	0.000250
NEW	2	1	32	32	0.000117

I	1	2	32	32	0.000080
II	1	2	32	32	0.000175
III	1	2	32	32	0.000151
IV	1	2	32	32	0.000232
V	1	2	32	32	0.000190
NEW	1	2	32	32	0.000010

I	2	1	64	64	0.000308
II	2	1	64	64	0.000685
III	2	1	64	64	0.000665
IV	2	1	64	64	0.001137
V	2	1	64	64	0.000848
NEW	2	1	64	64	0.000363

I	1	2	64	64	0.000187
II	1	2	64	64	0.000577
III	1	2	64	64	0.000469
IV	1	2	64	64	0.000786
V	1	2	64	64	0.000626
NEW	1	2	64	64	0.000017

I	2	1	64	64	0.000308
II	2	1	64	64	0.000675
III	2	1	64	64	0.000658
IV	2	1	64	64	0.001129
V	2	1	64	64	0.000840
NEW	2	1	64	64	0.000362

I	1	2	64	64	0.000187
II	1	2	64	64	0.000582
