****************
*  2024-10-28  *
****************

	    20 bits    	    31 bits    	    42 bits    	    50 bits    	    60 bits
depth	t_raw  | t_unit	t_raw  | t_unit	t_raw  | t_unit	t_raw  | t_unit	t_raw  | t_unit
3	2.1e-08|8.3e+00	2.2e-08|8.4e+00	2.2e-08|8.7e+00	2.2e-08|8.6e+00	2.2e-08|8.6e+00
4	3.6e-08|7.0e+00	3.6e-08|7.0e+00	3.6e-08|7.0e+00	3.6e-08|7.0e+00	3.6e-08|7.1e+00
5	5.1e-08|4.9e+00	5.1e-08|4.9e+00	5.1e-08|4.9e+00	5.1e-08|4.9e+00	5.0e-08|4.9e+00
6	7.8e-08|3.8e+00	7.8e-08|3.8e+00	7.9e-08|3.8e+00	7.8e-08|3.8e+00	7.9e-08|3.8e+00
7	1.4e-07|3.3e+00	1.3e-07|3.2e+00	1.3e-07|3.3e+00	1.3e-07|3.3e+00	1.3e-07|3.2e+00
8	2.5e-07|3.1e+00	2.5e-07|3.0e+00	2.5e-07|3.1e+00	2.5e-07|3.1e+00	2.5e-07|3.1e+00
9	4.4e-07|2.7e+00	4.5e-07|2.7e+00	4.5e-07|2.7e+00	4.4e-07|2.7e+00	4.5e-07|2.7e+00
10	8.1e-07|2.5e+00	8.0e-07|2.4e+00	8.1e-07|2.5e+00	8.0e-07|2.4e+00	8.1e-07|2.4e+00
11	1.5e-06|2.3e+00	1.5e-06|2.3e+00	1.5e-06|2.3e+00	1.5e-06|2.3e+00	1.5e-06|2.3e+00
12	3.0e-06|2.3e+00	3.0e-06|2.3e+00	3.0e-06|2.3e+00	3.0e-06|2.3e+00	3.0e-06|2.3e+00
13	5.9e-06|2.2e+00	5.9e-06|2.2e+00	5.9e-06|2.2e+00	6.3e-06|2.4e+00	6.0e-06|2.3e+00
14	3.6e-05|6.7e+00	3.6e-05|6.7e+00	3.6e-05|6.7e+00	3.5e-05|6.7e+00	3.6e-05|6.7e+00
15	8.6e-05|8.2e+00	8.6e-05|8.1e+00	8.5e-05|8.1e+00	8.6e-05|8.1e+00	8.6e-05|8.1e+00
16	1.9e-04|9.0e+00	1.9e-04|9.2e+00	1.9e-04|9.0e+00	1.9e-04|9.0e+00	2.0e-04|9.3e+00
17	4.1e-04|9.7e+00	4.1e-04|9.7e+00	4.1e-04|9.7e+00	4.1e-04|9.6e+00	4.1e-04|9.7e+00
18	8.8e-04|1.0e+01	9.0e-04|1.1e+01	8.7e-04|1.0e+01	8.7e-04|1.0e+01	8.7e-04|1.0e+01
19	  na   |  na   	1.8e-03|1.1e+01	1.8e-03|1.0e+01	1.8e-03|1.0e+01	1.8e-03|1.0e+01
20	  na   |  na   	3.9e-03|1.2e+01	3.9e-03|1.2e+01	3.9e-03|1.1e+01	3.9e-03|1.2e+01
21	  na   |  na   	9.1e-03|1.4e+01	9.2e-03|1.4e+01	9.1e-03|1.3e+01	9.0e-03|1.3e+01
22	  na   |  na   	1.9e-02|1.4e+01	1.9e-02|1.4e+01	1.9e-02|1.4e+01	1.9e-02|1.4e+01
23	  na   |  na   	4.1e-02|1.5e+01	4.0e-02|1.5e+01	4.2e-02|1.5e+01	4.1e-02|1.5e+01
24	  na   |  na   	8.2e-02|1.5e+01	8.2e-02|1.5e+01	8.1e-02|1.5e+01	8.3e-02|1.5e+01
25	  na   |  na   	1.7e-01|1.6e+01	1.7e-01|1.6e+01	1.7e-01|1.6e+01	1.7e-01|1.6e+01
