****************
*  2024-10-28  *
****************

20 bits         31 bits         42 bits         50 bits         60 bits
depth   t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit t_raw  | t_unit
3       1.6e-07|6.0e+01 1.6e-07|6.0e+01 1.6e-07|6.0e+01 1.6e-07|6.0e+01 1.6e-07|6.0e+01
4       2.2e-07|4.3e+01 2.2e-07|4.3e+01 2.2e-07|4.3e+01 2.2e-07|4.3e+01 2.2e-07|4.3e+01
5       2.7e-07|2.6e+01 2.7e-07|2.6e+01 2.7e-07|2.6e+01 2.7e-07|2.6e+01 2.7e-07|2.6e+01
6       3.4e-07|1.7e+01 3.4e-07|1.7e+01 3.4e-07|1.7e+01 3.4e-07|1.7e+01 3.4e-07|1.7e+01
7       4.6e-07|1.1e+01 4.6e-07|1.1e+01 4.6e-07|1.1e+01 4.6e-07|1.1e+01 4.6e-07|1.1e+01
8       6.8e-07|8.3e+00 6.8e-07|8.3e+00 6.8e-07|8.3e+00 6.8e-07|8.3e+00 6.8e-07|8.3e+00
9       1.0e-06|6.3e+00 1.0e-06|6.3e+00 1.0e-06|6.3e+00 1.0e-06|6.3e+00 1.0e-06|6.3e+00
10      1.7e-06|5.2e+00 1.7e-06|5.2e+00 1.7e-06|5.2e+00 1.7e-06|5.2e+00 1.7e-06|5.2e+00
11      3.1e-06|4.7e+00 3.1e-06|4.7e+00 3.1e-06|4.7e+00 3.1e-06|4.7e+00 3.1e-06|4.7e+00
12      5.8e-06|4.4e+00 5.8e-06|4.4e+00 5.8e-06|4.4e+00 5.7e-06|4.4e+00 5.8e-06|4.4e+00
13      1.1e-05|4.2e+00 1.1e-05|4.2e+00 1.1e-05|4.2e+00 1.1e-05|4.2e+00 1.1e-05|4.2e+00
14      5.6e-05|1.1e+01 5.5e-05|1.0e+01 5.6e-05|1.1e+01 5.6e-05|1.1e+01 5.5e-05|1.0e+01
15      1.3e-04|1.2e+01 1.3e-04|1.2e+01 1.3e-04|1.2e+01 1.3e-04|1.2e+01 1.3e-04|1.2e+01
16      3.0e-04|1.4e+01 2.9e-04|1.4e+01 2.9e-04|1.4e+01 2.9e-04|1.4e+01 2.9e-04|1.4e+01
17      6.4e-04|1.5e+01 6.4e-04|1.5e+01 6.4e-04|1.5e+01 6.4e-04|1.5e+01 6.4e-04|1.5e+01
18      1.3e-03|1.6e+01 1.3e-03|1.6e+01 1.3e-03|1.6e+01 1.3e-03|1.6e+01 1.3e-03|1.6e+01
19        na   |  na    2.1e-03|1.2e+01 2.1e-03|1.2e+01 2.1e-03|1.2e+01 2.1e-03|1.2e+01
20        na   |  na    3.7e-03|1.1e+01 3.7e-03|1.1e+01 3.6e-03|1.1e+01 3.7e-03|1.1e+01
21        na   |  na    9.1e-03|1.4e+01 9.3e-03|1.4e+01 9.3e-03|1.4e+01 8.9e-03|1.3e+01
22        na   |  na    2.3e-02|1.7e+01 2.3e-02|1.7e+01 2.3e-02|1.7e+01 2.3e-02|1.7e+01
23        na   |  na    4.9e-02|1.8e+01 4.9e-02|1.8e+01 4.9e-02|1.8e+01 4.9e-02|1.8e+01
24        na   |  na    9.9e-02|1.8e+01 1.0e-01|1.8e+01 9.9e-02|1.8e+01 9.9e-02|1.8e+01
25        na   |  na    2.0e-01|1.8e+01 2.0e-01|1.8e+01 2.0e-01|1.8e+01 2.0e-01|1.8e+01

