Prime p = 786433  (FFT prime, bit length = 20)
Bench polynomial matrix multiplication
size	degree	ntlx	linbox	ratio(ntlx/linbox)
2	32	0.0000	0.0001	0.0719
2	64	0.0000	0.0003	0.0470
2	128	0.0000	0.0004	0.0688
2	256	0.0001	0.0008	0.0607
2	512	0.0001	0.0017	0.0623
2	1024	0.0002	0.0049	0.0499
2	2048	0.0006	0.0067	0.0835
2	4096	0.0011	0.0135	0.0787
2	8192	0.0023	0.0276	0.0819
2	16384	0.0048	0.0562	0.0849
2	32768	0.0103	0.1120	0.0920
2	131072	0.0547	0.4740	0.1154
4	32	0.0000	0.0001	0.2149
4	64	0.0001	0.0002	0.2224
4	128	0.0001	0.0005	0.2324
4	256	0.0002	0.0010	0.2388
4	512	0.0005	0.0021	0.2466
4	1024	0.0011	0.0043	0.2509
4	2048	0.0023	0.0087	0.2625
4	4096	0.0048	0.0176	0.2741
4	8192	0.0103	0.0360	0.2873
4	16384	0.0224	0.0737	0.3035
4	32768	0.0480	0.1643	0.2925
4	131072	0.2375	0.6944	0.3421
8	32	0.0001	0.0002	0.5657
8	64	0.0002	0.0004	0.5659
8	128	0.0005	0.0009	0.5416
8	256	0.0010	0.0019	0.5316
8	512	0.0021	0.0038	0.5639
8	1024	0.0045	0.0083	0.5433
8	2048	0.0097	0.0173	0.5580
8	4096	0.0208	0.0381	0.5465
8	8192	0.0454	0.0756	0.6010
8	16384	0.0978	0.1639	0.5965
8	32768	0.2219	0.3656	0.6070
8	131072	1.1198	1.5930	0.7029
16	32	0.0005	0.0006	0.8787
16	64	0.0010	0.0013	0.8111
16	128	0.0019	0.0026	0.7295
16	256	0.0040	0.0055	0.7275
16	512	0.0089	0.0126	0.7056
16	1024	0.0193	0.0281	0.6877
16	2048	0.0430	0.0586	0.7342
16	4096	0.1007	0.1349	0.7464
16	8192	0.2221	0.2674	0.8305
16	16384	0.4683	0.5957	0.7861
16	32768	0.9792	1.2277	0.7975
16	131072	4.5143	5.2636	0.8576
32	32	0.0016	0.0021	0.7399
32	64	0.0035	0.0043	0.8110
32	128	0.0080	0.0105	0.7640
32	256	0.0174	0.0241	0.7218
32	512	0.0375	0.0501	0.7484
32	1024	0.0915	0.1228	0.7454
32	2048	0.2007	0.2538	0.7910
32	4096	0.4283	0.5092	0.8411
32	8192	0.8918	1.0279	0.8676
32	16384	1.8664	2.2325	0.8360
32	32768	4.0368	4.6337	0.8712
64	32	0.0075	0.0105	0.7141
64	64	0.0169	0.0230	0.7349
64	128	0.0356	0.0517	0.6886
64	256	0.0821	0.1223	0.6713
64	512	0.1806	0.2436	0.7413
64	1024	0.3940	0.4904	0.8035
64	2048	0.9219	0.9926	0.9287
64	4096	1.7519	2.0619	0.8497
64	8192	3.6734	4.1705	0.8808
128	32	0.0370	0.0561	0.6586
128	64	0.1026	0.1176	0.8732
128	128	0.1859	0.2551	0.7287
128	256	0.3798	0.5114	0.7426
128	512	0.8079	1.0147	0.7963
128	1024	1.7292	2.1126	0.8185
128	2048	3.6605	4.2232	0.8668
256	32	0.2331	0.2417	0.9642
256	64	0.5118	0.5051	1.0134
256	128	0.8513	1.0307	0.8260
256	256	1.7602	2.0893	0.8425
256	512	3.6823	4.3122	0.8539
512	32	1.1842	1.0610	1.1161
512	64	2.7526	2.0909	1.3164
512	128	4.3533	4.3837	0.9931
1024	32	6.5199	5.0527	1.2904
1024	64	14.5494	10.1828	1.4288


