Prime p = 1042693  (bit length = 20)
Bench polynomial matrix multiplication
size	degree	ntlx	linbox	ratio(ntlx/linbox)
2	32	0.0000	0.0305	0.0004
2	64	0.0000	0.0648	0.0002
2	128	0.0000	0.0371	0.0007
2	256	0.0001	0.0414	0.0014
2	512	0.0001	0.0465	0.0025
2	1024	0.0003	0.0513	0.0052
2	2048	0.0006	0.0591	0.0098
2	4096	0.0011	0.0412	0.0276
2	8192	0.0024	0.0825	0.0291
2	16384	0.0052	0.1735	0.0302
2	32768	0.0111	0.3467	0.0321
2	131072	0.0585	1.4066	0.0416
4	32	0.0000	0.0765	0.0004
4	64	0.0001	0.0945	0.0006
4	128	0.0001	0.1097	0.0012
4	256	0.0003	0.1195	0.0022
4	512	0.0005	0.1269	0.0043
4	1024	0.0011	0.0165	0.0692
4	2048	0.0024	0.0313	0.0769
4	4096	0.0051	0.0635	0.0802
4	8192	0.0107	0.1303	0.0823
4	16384	0.0232	0.2647	0.0876
4	32768	0.0494	0.5643	0.0875
4	131072	0.2474	2.4130	0.1025
8	32	0.0001	0.2570	0.0005
8	64	0.0003	0.2879	0.0009
8	128	0.0007	0.3016	0.0022
8	256	0.0013	0.0109	0.1232
8	512	0.0028	0.0178	0.1544
8	1024	0.0057	0.0370	0.1549
8	2048	0.0121	0.0769	0.1569
8	4096	0.0256	0.1577	0.1622
8	8192	0.0542	0.3281	0.1651
8	16384	0.1169	0.7077	0.1651
8	32768	0.2582	1.5515	0.1664
8	131072	2.4233	6.2624	0.3870
16	32	0.0007	0.7410	0.0009
16	64	0.0014	0.0187	0.0725
16	128	0.0028	0.0180	0.1528
16	256	0.0055	0.0312	0.1769
16	512	0.0117	0.0642	0.1815
16	1024	0.0249	0.1402	0.1776
16	2048	0.0525	0.2901	0.1811
16	4096	0.1152	0.5944	0.1938
16	8192	0.2543	1.2364	0.2057
16	16384	0.5483	2.5440	0.2155
16	32768	1.1720	5.3126	0.2206
16	131072	11.3472	21.3507	0.5315
32	32	0.0016	0.0171	0.0957
32	64	0.0043	0.0324	0.1329
32	128	0.0128	0.0639	0.2004
32	256	0.0271	0.1307	0.2077
32	512	0.0570	0.2682	0.2124
32	1024	0.1314	0.5591	0.2350
32	2048	0.2837	1.1656	0.2434
32	4096	0.5795	2.3509	0.2465
32	8192	1.2022	4.8254	0.2491
32	16384	2.4789	10.0385	0.2469
32	32768	10.8577	20.2830	0.5353
64	32	0.0072	0.0704	0.1022
64	64	0.0193	0.1300	0.1488
64	128	0.0510	0.2706	0.1885
64	256	0.1557	0.5330	0.2921
64	512	0.3019	1.0891	0.2772
64	1024	0.6327	2.1821	0.2899
64	2048	1.2853	4.6049	0.2791
64	4096	2.7366	9.1065	0.3005
64	8192	5.8688	18.9498	0.3097
128	32	0.0356	0.3814	0.0933
128	64	0.0941	0.6284	0.1498
128	128	0.2378	1.2036	0.1976
128	256	0.9385	2.3619	0.3974
128	512	1.9302	4.9280	0.3917
128	1024	3.8532	10.3350	0.3728
128	2048	8.2379	21.1741	0.3891
256	32	0.2004	1.2519	0.1600
256	64	0.4653	2.4879	0.1870
256	128	1.1053	5.1760	0.2135
256	256	3.1862	10.5064	0.3033
256	512	12.2171	21.6961	0.5631
512	32	1.0598	4.9377	0.2146
512	64	2.7038	10.0923	0.2679
512	128	6.5511	21.4116	0.3060
1024	32	6.2915	24.1802	0.2602
1024	64	14.5800	49.4997	0.2945


